epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.39253997802734375,0.0010000000474974513,1.7241816520690918,0.5793212056159973,1.2273280620574951
1,0.4217485785484314,0.0010000000474974513,1.4537380933761597,0.46093133091926575,1.2519595623016357
2,0.4489836096763611,0.0010000000474974513,1.3326042890548706,0.4601420760154724,1.2077629566192627
3,0.4758239686489105,0.0010000000474974513,1.284684181213379,0.5327545404434204,1.1418042182922363
4,0.499309241771698,0.0010000000474974513,1.235213279724121,0.530386745929718,1.1126275062561035
5,0.4983224868774414,0.0010000000474974513,1.198405146598816,0.5106551051139832,1.1270465850830078
6,0.5180580019950867,0.0010000000474974513,1.191516637802124,0.5019731521606445,1.1424016952514648
7,0.5156897306442261,0.0010000000474974513,1.15939462184906,0.5272296667098999,1.1220759153366089
8,0.5253601670265198,0.0010000000474974513,1.1677814722061157,0.5169692039489746,1.105425477027893
9,0.5283204913139343,0.0010000000474974513,1.1406407356262207,0.4806629717350006,1.1727484464645386
10,0.5312808156013489,0.0010000000474974513,1.149538516998291,0.4861878454685211,1.1374543905258179
