phase1_accuracy,phase1_loss,phase1_val_accuracy,phase1_val_loss,phase1_learning_rate,phase2_accuracy,phase2_loss,phase2_val_accuracy,phase2_val_loss,phase2_learning_rate
0.3761594593524933,1.7789881229400635,0.4988161027431488,1.4197335243225098,0.0010000000474974513,0.5066114068031311,1.2083343267440796,0.5217047929763794,1.1398617029190063,9.999999747378752e-06
0.4383264183998108,1.4332716464996338,0.41673243045806885,1.3144023418426514,0.0010000000474974513,0.5375962257385254,1.1511915922164917,0.5122336149215698,1.1374951601028442,9.999999747378752e-06
0.43911585211753845,1.3605133295059204,0.48145225644111633,1.1999768018722534,0.0010000000474974513,0.5391750335693359,1.1351124048233032,0.5169692039489746,1.1206176280975342,9.999999747378752e-06
0.4754292368888855,1.2872159481048584,0.4806629717350006,1.1588026285171509,0.0010000000474974513,0.5563449859619141,1.103033185005188,0.5209155678749084,1.1184625625610352,9.999999747378752e-06
0.4758239686489105,1.2569494247436523,0.3867403268814087,1.3352566957473755,0.0010000000474974513,0.5606868267059326,1.0867811441421509,0.5224940776824951,1.1077308654785156,9.999999747378752e-06
0.49299389123916626,1.1953843832015991,0.48934489488601685,1.1426817178726196,0.0010000000474974513,0.565423309803009,1.0502419471740723,0.5043409466743469,1.1461126804351807,9.999999747378752e-06
0.4945727288722992,1.2009133100509644,0.5288082361221313,1.1075541973114014,0.0010000000474974513,0.5711466073989868,1.0419580936431885,0.5295974612236023,1.0969926118850708,9.999999747378752e-06
0.5133215188980103,1.1843643188476562,0.5217047929763794,1.1173032522201538,0.0010000000474974513,0.5914742350578308,1.0152804851531982,0.5169692039489746,1.125469446182251,9.999999747378752e-06
0.5306887626647949,1.1501215696334839,0.5098658204078674,1.1410069465637207,0.0010000000474974513,0.5904874801635742,0.9890106320381165,0.5248618721961975,1.1066858768463135,9.999999747378752e-06
0.5218077898025513,1.150742530822754,0.5161799788475037,1.1189112663269043,0.0010000000474974513,0.5908821821212769,0.9857626557350159,0.5098658204078674,1.134096622467041,9.999999747378752e-06
0.5231892466545105,1.1622921228408813,0.5067087411880493,1.1372519731521606,0.0010000000474974513,0.5889086127281189,0.9601079225540161,0.5027624368667603,1.1562703847885132,9.999999747378752e-06
0.530096709728241,1.1370670795440674,0.49013417959213257,1.1376229524612427,0.0010000000474974513,0.6096309423446655,0.9372287392616272,0.5161799788475037,1.1262816190719604,9.999999747378752e-06
0.5522004961967468,1.100646734237671,0.469613254070282,1.1918737888336182,0.0005000000237487257,0.61713045835495,0.898762047290802,0.5256511569023132,1.1196799278259277,4.999999873689376e-06
0.5441089272499084,1.1098744869232178,0.5067087411880493,1.1278520822525024,0.0005000000237487257,0.6147621870040894,0.9106650352478027,0.5059195160865784,1.1608598232269287,4.999999873689376e-06
0.5445036292076111,1.093401551246643,0.4885556399822235,1.1707876920700073,0.0005000000237487257,0.6169331073760986,0.8934917449951172,0.5201262831687927,1.1302273273468018,4.999999873689376e-06
0.5539767146110535,1.0769143104553223,0.4956590235233307,1.1197848320007324,0.0005000000237487257,0.6323268413543701,0.8796762228012085,0.5240725874900818,1.1292781829833984,4.999999873689376e-06
0.5452930927276611,1.0775336027145386,0.4932912290096283,1.134247899055481,0.0005000000237487257,0.625024676322937,0.8589021563529968,0.5367008447647095,1.105363368988037,4.999999873689376e-06
,,,,,0.6323268413543701,0.8622020483016968,0.5288082361221313,1.1154351234436035,2.499999936844688e-06
,,,,,0.6323268413543701,0.8480634689331055,0.5256511569023132,1.1257364749908447,2.499999936844688e-06
,,,,,0.6313400268554688,0.8251734375953674,0.5209155678749084,1.1335906982421875,2.499999936844688e-06
