Metric,Custom CNN,Transfer Learning,Improvement,Improvement %
Accuracy,0.6093,0.5367008681925809,-0.07259913180741906,-11.92
Precision (Weighted),0.4581,0.6016119222662392,0.14351192226623916,31.33
Recall (Weighted),0.6093,0.5367008681925809,-0.07259913180741906,-11.92
F1-Score (Weighted),0.5183,0.5568225879134484,0.038522587913448425,7.43
Precision (Macro),0.31,0.4548433261047652,0.1448433261047652,46.72
Recall (Macro),0.39,0.47209661676250936,0.08209661676250934,21.05
F1-Score (Macro),0.34,0.44780214547232655,0.10780214547232653,31.71
