Class,CNN Precision,TL Precision,Precision Δ,CNN Recall,TL Recall,Recall Δ,CNN F1,TL F1,F1 Δ
Negative for Pneumonia,0.63,0.6206030150753769,-0.009396984924623153,0.64,0.7118155619596542,0.07181556195965422,0.64,0.6630872483221476,0.02308724832214759
Typical Appearance,0.6,0.7935779816513762,0.19357798165137619,0.91,0.5757071547420965,-0.3342928452579035,0.72,0.6673095467695275,-0.0526904532304725
Indeterminate Appearance,0.0,0.24519230769230768,0.24519230769230768,0.0,0.22972972972972974,0.22972972972972974,0.0,0.2372093023255814,0.2372093023255814
Atypical Appearance,0.0,0.16,0.16,0.0,0.3711340206185567,0.3711340206185567,0.0,0.2236024844720497,0.2236024844720497
