accuracy,loss,val_accuracy,val_loss,learning_rate
0.3761594593524933,1.7789881229400635,0.4988161027431488,1.4197335243225098,0.0010000000474974513
0.4383264183998108,1.4332716464996338,0.41673243045806885,1.3144023418426514,0.0010000000474974513
0.43911585211753845,1.3605133295059204,0.48145225644111633,1.1999768018722534,0.0010000000474974513
0.4754292368888855,1.2872159481048584,0.4806629717350006,1.1588026285171509,0.0010000000474974513
0.4758239686489105,1.2569494247436523,0.3867403268814087,1.3352566957473755,0.0010000000474974513
0.49299389123916626,1.1953843832015991,0.48934489488601685,1.1426817178726196,0.0010000000474974513
0.4945727288722992,1.2009133100509644,0.5288082361221313,1.1075541973114014,0.0010000000474974513
0.5133215188980103,1.1843643188476562,0.5217047929763794,1.1173032522201538,0.0010000000474974513
0.5306887626647949,1.1501215696334839,0.5098658204078674,1.1410069465637207,0.0010000000474974513
0.5218077898025513,1.150742530822754,0.5161799788475037,1.1189112663269043,0.0010000000474974513
0.5231892466545105,1.1622921228408813,0.5067087411880493,1.1372519731521606,0.0010000000474974513
0.530096709728241,1.1370670795440674,0.49013417959213257,1.1376229524612427,0.0010000000474974513
0.5522004961967468,1.100646734237671,0.469613254070282,1.1918737888336182,0.0005000000237487257
0.5441089272499084,1.1098744869232178,0.5067087411880493,1.1278520822525024,0.0005000000237487257
0.5445036292076111,1.093401551246643,0.4885556399822235,1.1707876920700073,0.0005000000237487257
0.5539767146110535,1.0769143104553223,0.4956590235233307,1.1197848320007324,0.0005000000237487257
0.5452930927276611,1.0775336027145386,0.4932912290096283,1.134247899055481,0.0005000000237487257
